NTA,Total Savings,Current fulltime
Battery Park City-Lower Manhattan,469890.79666666663,1241.142857142857
Bushwick South,26140.454999999998,53.5
Carroll Gardens-Columbia Street-Red Hook,24337.39,62.45454545454545
College Point,17159.37285714286,60.142857142857146
Crown Heights North,4036.298888888889,7.777777777777778
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,59950.340000000004,428.2
East New York,48433.09333333333,118.88888888888889
East Williamsburg,13990.626363636366,37.54545454545455
Greenpoint,9753.649285714286,109.64285714285714
Hunters Point-Sunnyside-West Maspeth,23931.398933333334,134.6
Hunts Point,39246.016153846154,109.46153846153847
Manhattanville,2760.8888888888887,13.0
Maspeth,6658.283333333333,22.77777777777778
Mott Haven-Port Morris,17843.937857142857,69.85714285714286
Queensbridge-Ravenswood-Long Island City,61830.770625,339.625
SoHo-TriBeCa-Civic Center-Little Italy,37214.024,102.75
Springfield Gardens South-Brookville,17757.662,67.6
Steinway,11227.155714285715,38.42857142857143
Sunset Park West,14316.976875,36.5625
park-cemetery-etc-Brooklyn,14327.419333333333,43.0
